Wavelength (nm), Intensity (a.u.)
528.200,7.0169e-04
528.210,6.9961e-04
528.220,6.9755e-04
528.230,6.9551e-04
528.240,6.9350e-04
528.250,6.9151e-04
528.260,6.8955e-04
528.270,6.8760e-04
528.280,6.8568e-04
528.290,6.8378e-04
528.300,6.8190e-04
528.310,6.8004e-04
528.320,6.7820e-04
528.330,6.7638e-04
528.340,6.7459e-04
528.350,6.7281e-04
528.360,6.7106e-04
528.370,6.6932e-04
528.380,6.6761e-04
528.390,6.6591e-04
528.400,6.6424e-04
528.410,6.6258e-04
528.420,6.6094e-04
528.430,6.5932e-04
528.440,6.5772e-04
528.450,6.5614e-04
528.460,6.5458e-04
528.470,6.5303e-04
528.480,6.5151e-04
528.490,6.5000e-04
528.500,6.4851e-04
528.510,6.4703e-04
528.520,6.4558e-04
528.530,6.4414e-04
528.540,6.4271e-04
528.550,6.4131e-04
528.560,6.3992e-04
528.570,6.3855e-04
528.580,6.3719e-04
528.590,6.3585e-04
528.600,6.3453e-04
528.610,6.3322e-04
528.620,6.3193e-04
528.630,6.3065e-04
528.640,6.2939e-04
528.650,6.2814e-04
528.660,6.2691e-04
528.670,6.2569e-04
528.680,6.2449e-04
528.690,6.2331e-04
528.700,6.2213e-04
528.710,6.2098e-04
528.720,6.1983e-04
528.730,6.1870e-04
528.740,6.1759e-04
528.750,6.1649e-04
528.760,6.1540e-04
528.770,6.1433e-04
528.780,6.1327e-04
528.790,6.1222e-04
528.800,6.1119e-04
528.810,6.1017e-04
528.820,6.0916e-04
528.830,6.0817e-04
528.840,6.0719e-04
528.850,6.0622e-04
528.860,6.0526e-04
528.870,6.0432e-04
528.880,6.0339e-04
528.890,6.0247e-04
528.900,6.0156e-04
528.910,6.0067e-04
528.920,5.9978e-04
528.930,5.9891e-04
528.940,5.9805e-04
528.950,5.9720e-04
528.960,5.9637e-04
528.970,5.9554e-04
528.980,5.9473e-04
528.990,5.9393e-04
529.000,5.9314e-04
529.010,5.9236e-04
529.020,5.9159e-04
529.030,5.9083e-04
529.040,5.9008e-04
529.050,5.8935e-04
529.060,5.8862e-04
529.070,5.8790e-04
529.080,5.8720e-04
529.090,5.8650e-04
529.100,5.8582e-04
529.110,5.8514e-04
529.120,5.8448e-04
529.130,5.8382e-04
529.140,5.8318e-04
529.150,5.8254e-04
529.160,5.8192e-04
529.170,5.8130e-04
529.180,5.8070e-04
529.190,5.8010e-04
529.200,5.7951e-04
529.210,5.7893e-04
529.220,5.7837e-04
529.230,5.7781e-04
529.240,5.7726e-04
529.250,5.7672e-04
529.260,5.7618e-04
529.270,5.7566e-04
529.280,5.7514e-04
529.290,5.7464e-04
529.300,5.7414e-04
529.310,5.7365e-04
529.320,5.7317e-04
529.330,5.7270e-04
529.340,5.7224e-04
529.350,5.7178e-04
529.360,5.7134e-04
529.370,5.7090e-04
529.380,5.7047e-04
529.390,5.7005e-04
529.400,5.6964e-04
529.410,5.6923e-04
529.420,5.6883e-04
529.430,5.6844e-04
529.440,5.6806e-04
529.450,5.6769e-04
529.460,5.6732e-04
529.470,5.6696e-04
529.480,5.6661e-04
529.490,5.6627e-04
529.500,5.6593e-04
529.510,5.6560e-04
529.520,5.6528e-04
529.530,5.6497e-04
529.540,5.6466e-04
529.550,5.6436e-04
529.560,5.6407e-04
529.570,5.6378e-04
529.580,5.6351e-04
529.590,5.6323e-04
529.600,5.6297e-04
529.610,5.6271e-04
529.620,5.6246e-04
529.630,5.6222e-04
529.640,5.6198e-04
529.650,5.6175e-04
529.660,5.6153e-04
529.670,5.6132e-04
529.680,5.6111e-04
529.690,5.6090e-04
529.700,5.6071e-04
529.710,5.6052e-04
529.720,5.6033e-04
529.730,5.6016e-04
529.740,5.5999e-04
529.750,5.5982e-04
529.760,5.5967e-04
529.770,5.5951e-04
529.780,5.5937e-04
529.790,5.5923e-04
529.800,5.5910e-04
529.810,5.5897e-04
529.820,5.5885e-04
529.830,5.5873e-04
529.840,5.5863e-04
529.850,5.5852e-04
529.860,5.5843e-04
529.870,5.5834e-04
529.880,5.5825e-04
529.890,5.5817e-04
529.900,5.5810e-04
529.910,5.5803e-04
529.920,5.5797e-04
529.930,5.5791e-04
529.940,5.5786e-04
529.950,5.5782e-04
529.960,5.5778e-04
529.970,5.5775e-04
529.980,5.5772e-04
529.990,5.5770e-04
530.000,5.5768e-04
530.010,5.5767e-04
530.020,5.5766e-04
530.030,5.5766e-04
530.040,5.5767e-04
530.050,5.5768e-04
530.060,5.5770e-04
530.070,5.5772e-04
530.080,5.5774e-04
530.090,5.5778e-04
530.100,5.5781e-04
530.110,5.5785e-04
530.120,5.5790e-04
530.130,5.5795e-04
530.140,5.5801e-04
530.150,5.5808e-04
530.160,5.5814e-04
530.170,5.5822e-04
530.180,5.5829e-04
530.190,5.5838e-04
530.200,5.5847e-04
530.210,5.5856e-04
530.220,5.5866e-04
530.230,5.5876e-04
530.240,5.5887e-04
530.250,5.5898e-04
530.260,5.5910e-04
530.270,5.5922e-04
530.280,5.5935e-04
530.290,5.5948e-04
530.300,5.5962e-04
530.310,5.5976e-04
530.320,5.5991e-04
530.330,5.6006e-04
530.340,5.6022e-04
530.350,5.6038e-04
530.360,5.6054e-04
530.370,5.6071e-04
530.380,5.6089e-04
530.390,5.6107e-04
530.400,5.6125e-04
530.410,5.6144e-04
530.420,5.6163e-04
530.430,5.6183e-04
530.440,5.6203e-04
530.450,5.6224e-04
530.460,5.6245e-04
530.470,5.6267e-04
530.480,5.6289e-04
530.490,5.6311e-04
530.500,5.6334e-04
530.510,5.6358e-04
530.520,5.6382e-04
530.530,5.6406e-04
530.540,5.6431e-04
530.550,5.6456e-04
530.560,5.6481e-04
530.570,5.6507e-04
530.580,5.6534e-04
530.590,5.6561e-04
530.600,5.6588e-04
530.610,5.6616e-04
530.620,5.6644e-04
530.630,5.6673e-04
530.640,5.6702e-04
530.650,5.6731e-04
530.660,5.6761e-04
530.670,5.6792e-04
530.680,5.6823e-04
530.690,5.6854e-04
530.700,5.6885e-04
530.710,5.6917e-04
530.720,5.6950e-04
530.730,5.6983e-04
530.740,5.7016e-04
530.750,5.7050e-04
530.760,5.7084e-04
530.770,5.7119e-04
530.780,5.7153e-04
530.790,5.7189e-04
530.800,5.7225e-04
530.810,5.7261e-04
530.820,5.7298e-04
530.830,5.7335e-04
530.840,5.7372e-04
530.850,5.7410e-04
530.860,5.7448e-04
530.870,5.7487e-04
530.880,5.7526e-04
530.890,5.7565e-04
530.900,5.7605e-04
530.910,5.7646e-04
530.920,5.7686e-04
530.930,5.7728e-04
530.940,5.7769e-04
530.950,5.7811e-04
530.960,5.7853e-04
530.970,5.7896e-04
530.980,5.7939e-04
530.990,5.7983e-04
531.000,5.8027e-04
531.010,5.8071e-04
531.020,5.8116e-04
531.030,5.8161e-04
531.040,5.8206e-04
531.050,5.8252e-04
531.060,5.8299e-04
531.070,5.8345e-04
531.080,5.8393e-04
531.090,5.8440e-04
531.100,5.8488e-04
531.110,5.8536e-04
531.120,5.8585e-04
531.130,5.8634e-04
531.140,5.8684e-04
531.150,5.8734e-04
531.160,5.8784e-04
531.170,5.8834e-04
531.180,5.8886e-04
531.190,5.8937e-04
531.200,5.8989e-04
531.210,5.9041e-04
531.220,5.9094e-04
531.230,5.9147e-04
531.240,5.9200e-04
531.250,5.9254e-04
531.260,5.9308e-04
531.270,5.9363e-04
531.280,5.9418e-04
531.290,5.9474e-04
531.300,5.9529e-04
531.310,5.9586e-04
531.320,5.9642e-04
531.330,5.9699e-04
531.340,5.9756e-04
531.350,5.9814e-04
531.360,5.9872e-04
531.370,5.9931e-04
531.380,5.9990e-04
531.390,6.0049e-04
531.400,6.0109e-04
531.410,6.0169e-04
531.420,6.0230e-04
531.430,6.0291e-04
531.440,6.0352e-04
531.450,6.0414e-04
531.460,6.0476e-04
531.470,6.0538e-04
